Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
History and Political Science (BSocSc),75,6376,25554,ENG4U/French4U,Yes,N/A,No
History,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Human Kinetics (BHK) — Emphasis on social sciences,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",No,N/A,No
Human Kinetics (BScHK) — Emphasis on biophysical sciences,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",No,N/A,No
Human Resource Management (certificate),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Human Resource Management,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Indigenous Studies,75,6376,25554,ENG4U/French4U,No,N/A,No
International Development and Globalization,75,6376,25554,"ENG4U/French4U,MHF4U",No,N/A,No
International Economics and Development,75,6376,25554,ENG4U/French4U,No,N/A,No
International Management,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
International Studies and Modern Languages,75,6376,25554,ENG4U/French4U,No,N/A,No
Lettres françaises (BA) et éducation (BEd),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Lettres françaises,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Linguistics,75,6376,25554,ENG4U/French4U,No,N/A,No
Management (certificate),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Management,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Marketing,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Mathematics and Economics (BSc),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",Yes,N/A,No
Mathematics and Economics (BSocSc),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",Yes,N/A,No
Mathematics,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",Yes,N/A,No
Mechanical Engineering (BASc) and Computing Technology (BSc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",No,N/A,No
Mechanical Engineering,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
Medieval and Renaissance Studies,75,6376,25554,ENG4U/French4U,No,N/A,No
Music (BA),75,6376,25554,ENG4U/French4U,No,N/A,No
