Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Business Administration (BBA),70,5430,7030,"One 4U French course, Two 4U/M math courses",No,N/A,No
Study of Human and Social Issues (Étude des enjeux humains et sociaux),70,5430,7030,One 4U French course,No,N/A,No
Psychology (Psychologie),70,5430,7030,One 4U French course,No,N/A,No
