Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
History,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Human Resources Management,77,6981,29496,"ENG4U, 4U math, four additional 4U or M courses",No,N/A,No
Human Rights and Equality Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Humanities,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Indigenous Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Individualized Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Information Technology,77,6981,29496,"ENG4U, 4U math",No,N/A,No
Integrated Science,85,6981,29496,"ENG4U, MHF4U, MCV4U, SBI4U/SCH4U/SPH4U",No,N/A,No
Interdisciplinary Social Science,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
International Development,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
International Development Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
International Studies & Business Administration,77,9653,31483,"ENG4U/FRA4U, MHF4U, MCV4U/MDM4U, three additional 4U or M ",No,N/A,No
Italian Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Jewish Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Kinesiology and Health Science,80,6981,29496,"ENG4U, 4U math, SBI4U/SCH4U/SPH4U, three additional 4U or M courses",No,N/A,No
Law and Society,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Linguistics,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Mathematical Biology,80,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, MCV4U, One additional 4U/M",No,N/A,No
Mathematics,80,6981,29496,"ENG4U, MHF4U,SBI4U/SPH4U, three additional 4U or M courses",No,N/A,No
Mathematics for Education,80,6981,29496,"ENG4U, MHF4U, four additional 4U/M",No,N/A,No
Music ,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Neuroscience,82,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U",No,N/A,No
Nursing: Collaborative,77,6981,29496,"ENG4U, 4U math, SBI4U, SCH4U/SPH4U, two additional 4U or M courses",No,N/A,No
Philosophy,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Physics and Asotronomy,80,6981,29496,"ENG4U, SPH4U, MHF4U, MCV4U, two additional 4U or M courses",No,N/A,No
